Date,LLM Response
01_08_2025,"{
  ""Communication Services"": 0.15,
  ""Consumer Discretionary"": 0.05,
  ""Consumer Staples"": 0.1,
  ""Energy"": 0.35,
  ""Financials"": 0.55,
  ""Health Care"": 0.45,
  ""Industrials"": 0.1,
  ""Information Technology"": 0.0,
  ""Materials"": 0.3,
  ""Real Estate"": -0.1,
  ""Utilities"": -0.05
}"
01_09_2025,"{
  ""Communication Services"": 0.12,
  ""Consumer Discretionary"": -0.18,
  ""Consumer Staples"": 0.08,
  ""Energy"": 0.19,
  ""Financials"": -0.22,
  ""Health Care"": 0.05,
  ""Industrials"": -0.04,
  ""Information Technology"": -0.16,
  ""Materials"": -0.06,
  ""Real Estate"": -0.14,
  ""Utilities"": 0.03
}"
01_13_2025,"{
  ""Communication Services"": 0.15,
  ""Consumer Discretionary"": -0.35,
  ""Consumer Staples"": -0.12,
  ""Energy"": 0.62,
  ""Financials"": 0.28,
  ""Health Care"": -0.25,
  ""Industrials"": -0.18,
  ""Information Technology"": -0.22,
  ""Materials"": -0.05,
  ""Real Estate"": -0.34,
  ""Utilities"": -0.08
}"
01_14_2025,"{""Energy"":0.35,""Materials"":0.15,""Industrials"":0.45,""Consumer Discretionary"":0.1,""Consumer Staples"":-0.05,""Health Care"":0.2,""Financials"":0.25,""Information Technology"":0.3,""Communication Services"":0.05,""Utilities"":0.05,""Real Estate"":-0.2}"
01_16_2025,"{""communication_services"":0.1,""consumer_discretionary"":0.35,""consumer_staples"":0.15,""energy"":0.08,""financials"":0.72,""health_care"":0.05,""industrials"":0.18,""information_technology"":0.55,""materials"":0.2,""real_estate"":0.12,""utilities"":0.02}"
01_17_2025,"{""communication_services"":0.25,""consumer_discretionary"":0.35,""consumer_staples"":0.15,""energy"":0.3,""financials"":0.45,""health_care"":0.1,""industrials"":0.4,""information_technology"":0.2,""materials"":0.3,""real_estate"":0.05,""utilities"":0.1}"
01_21_2025,"{
  ""Communication Services"": 0.05,
  ""Consumer Discretionary"": 0.15,
  ""Consumer Staples"": 0.0,
  ""Energy"": 0.45,
  ""Financials"": 0.55,
  ""Health Care"": 0.1,
  ""Industrials"": 0.25,
  ""Information Technology"": 0.4,
  ""Materials"": 0.2,
  ""Real Estate"": -0.1,
  ""Utilities"": 0.05
}"
01_22_2024,"{
  ""S&P 500"": 0.6,
  ""Communication Services"": 0.5,
  ""Consumer Discretionary"": 0.4,
  ""Consumer Staples"": 0.35,
  ""Energy"": 0.15,
  ""Financials"": 0.25,
  ""Health Care"": 0.45,
  ""Industrials"": 0.2,
  ""Information Technology"": 0.75,
  ""Materials"": 0.1,
  ""Real Estate"": -0.05,
  ""Utilities"": 0.1
}"
01_22_2025,"{
  ""Communication Services"": 0.8,
  ""Consumer Discretionary"": 0.55,
  ""Consumer Staples"": 0.35,
  ""Energy"": 0.65,
  ""Financials"": 0.7,
  ""Health Care"": 0.1,
  ""Industrials"": 0.6,
  ""Information Technology"": 0.8,
  ""Materials"": 0.25,
  ""Real Estate"": 0.15,
  ""Utilities"": 0.2
}"
01_22_2026,"{""Communication Services"":0.05,""Consumer Discretionary"":0.12,""Consumer Staples"":0.02,""Energy"":0.18,""Financials"":0.22,""Health Care"":0.14,""Industrials"":0.17,""Information Technology"":0.28,""Materials"":0.16,""Real Estate"":0.1,""Utilities"":0.06}"
01_23_2025,"{""communication_services"":0.85,""consumer_discretionary"":0.7,""consumer_staples"":0.25,""energy"":0.8,""financials"":0.65,""health_care"":0.55,""industrials"":0.6,""information_technology"":0.75,""materials"":0.35,""real_estate"":0.45,""utilities"":0.4}"
01_24_2024,"{""Communication Services"":0.44,""Consumer Discretionary"":0.32,""Consumer Staples"":0.18,""Energy"":0.41,""Financials"":0.33,""Health Care"":0.22,""Industrials"":0.37,""Information Technology"":0.45,""Materials"":0.24,""Real Estate"":0.17,""Utilities"":0.29}"
01_25_2024,"{""Communication Services"":0.12,""Consumer Discretionary"":-0.08,""Consumer Staples"":0.02,""Energy"":0.15,""Financials"":0.18,""Health Care"":0.08,""Industrials"":-0.22,""Information Technology"":0.2,""Materials"":0.03,""Real Estate"":0.05,""Utilities"":0.04}"
01_27_2025,"{""Communication Services"":0.1,""Consumer Discretionary"":-0.05,""Consumer Staples"":0.0,""Energy"":-0.75,""Financials"":-0.1,""Health Care"":0.05,""Industrials"":0.0,""Information Technology"":-0.9,""Materials"":-0.15,""Real Estate"":-0.05,""Utilities"":-0.7}"
01_29_2024,"{
  ""Communication Services"": 0.42,
  ""Consumer Discretionary"": 0.18,
  ""Consumer Staples"": 0.05,
  ""Energy"": 0.12,
  ""Financials"": 0.08,
  ""Health Care"": 0.04,
  ""Industrials"": -0.02,
  ""Information Technology"": 0.58,
  ""Materials"": -0.06,
  ""Real Estate"": -0.12,
  ""Utilities"": 0.03
}"
01_29_2025,"{""Communication Services"":0.55,""Consumer Discretionary"":0.2,""Consumer Staples"":0.1,""Energy"":-0.25,""Financials"":0.15,""Health Care"":0.3,""Industrials"":0.25,""Information Technology"":0.75,""Materials"":0.45,""Real Estate"":0.05,""Utilities"":-0.3}"
01_30_2025,"{""Communication Services"":0.45,""Consumer Discretionary"":0.18,""Consumer Staples"":-0.22,""Energy"":-0.1,""Financials"":0.05,""Health Care"":-0.05,""Industrials"":-0.32,""Information Technology"":0.38,""Materials"":-0.28,""Real Estate"":-0.06,""Utilities"":-0.08}"
01_31_2024,"{""Communication Services"":0.1,""Consumer Discretionary"":0.05,""Consumer Staples"":0.0,""Energy"":0.15,""Financials"":0.05,""Health Care"":0.05,""Industrials"":-0.15,""Information Technology"":-0.35,""Materials"":0.0,""Real Estate"":-0.05,""Utilities"":0.0}"
01_31_2025,"{""Communication Services"":0.25,""Consumer Discretionary"":0.15,""Consumer Staples"":0.05,""Energy"":-0.45,""Financials"":-0.05,""Health Care"":0.0,""Industrials"":-0.2,""Information Technology"":0.3,""Materials"":-0.15,""Real Estate"":-0.1,""Utilities"":0.05}"
02_01_2024,"{
  ""Information Technology"": 0.3,
  ""Health Care"": 0.0,
  ""Financials"": -0.35,
  ""Consumer Discretionary"": 0.2,
  ""Consumer Staples"": 0.05,
  ""Energy"": 0.1,
  ""Industrials"": -0.15,
  ""Materials"": -0.1,
  ""Utilities"": 0.0,
  ""Real Estate"": -0.5,
  ""Communication Services"": 0.15,
  ""S&P 500"": 0.1
}"
02_04_2025,"{
  ""CommunicationServices"": 0.15,
  ""ConsumerDiscretionary"": -0.25,
  ""ConsumerStaples"": 0.05,
  ""Energy"": -0.3,
  ""Financials"": 0.02,
  ""HealthCare"": 0.1,
  ""Industrials"": -0.35,
  ""InformationTechnology"": 0.08,
  ""Materials"": -0.4,
  ""RealEstate"": -0.05,
  ""Utilities"": 0.02
}"
02_05_2025,"{
  ""sector_sentiment"": {
    ""information_technology"": -0.55,
    ""communication_services"": -0.25,
    ""consumer_discretionary"": 0.15,
    ""consumer_staples"": -0.1,
    ""health_care"": 0.0,
    ""financials"": 0.1,
    ""industrials"": 0.05,
    ""materials"": -0.05,
    ""energy"": 0.45,
    ""utilities"": 0.2,
    ""real_estate"": -0.1,
    ""basic_materials"": -0.05
  }
}"
02_06_2024,"{
  ""communication_services"": 0.2,
  ""consumer_discretionary"": 0.15,
  ""consumer_staples"": -0.1,
  ""energy"": 0.55,
  ""financials"": 0.1,
  ""health_care"": 0.0,
  ""industrials"": 0.35,
  ""information_technology"": 0.25,
  ""materials"": 0.15,
  ""real_estate"": -0.15,
  ""utilities"": -0.05
}"
02_06_2025,"{""Consumer Discretionary"":0.2,""Consumer Staples"":0.05,""Energy"":-0.05,""Financials"":0.15,""Health Care"":0.2,""Industrials"":0.05,""Information Technology"":0.1,""Materials"":-0.1,""Real Estate"":0.0,""Utilities"":0.0,""Communication Services"":0.1}"
02_08_2024,"{""Communication Services"":0.35,""Consumer Discretionary"":0.58,""Consumer Staples"":-0.06,""Energy"":0.22,""Financials"":0.11,""Health Care"":0.08,""Industrials"":0.14,""Information Technology"":0.46,""Materials"":0.09,""Real Estate"":0.33,""Utilities"":0.04}"
02_09_2024,"{""consumer_discretionary"":0.55,""consumer_staples"":0.15,""energy"":0.05,""financials"":0.2,""health_care"":0.35,""industrials"":0.1,""information_technology"":0.25,""materials"":0.3,""real_estate"":-0.15,""communication_services"":0.2,""utilities"":0.0}"
02_10_2025,"{
  ""Communication Services"": 0.3,
  ""Consumer Discretionary"": 0.1,
  ""Consumer Staples"": 0.15,
  ""Energy"": -0.05,
  ""Financials"": 0.6,
  ""Health Care"": 0.05,
  ""Industrials"": -0.35,
  ""Information Technology"": 0.2,
  ""Materials"": -0.15,
  ""Real Estate"": 0.0,
  ""Utilities"": 0.1
}"
02_11_2025,"{
  ""Communication Services"": 0.1,
  ""Consumer Discretionary"": -0.1,
  ""Consumer Staples"": -0.05,
  ""Energy"": -0.15,
  ""Financials"": 0.05,
  ""Health Care"": -0.1,
  ""Industrials"": -0.4,
  ""Information Technology"": -0.05,
  ""Materials"": -0.45,
  ""Real Estate"": -0.1,
  ""Utilities"": 0.0
}"
02_11_2026,"{""communication_services"":0.15,""consumer_discretionary"":0.05,""consumer_staples"":-0.1,""energy"":0.2,""financials"":-0.05,""health_care"":0.1,""industrials"":0.12,""information_technology"":0.25,""materials"":0.08,""real_estate"":0.02,""utilities"":0.05}"
02_12_2024,"{
  ""Financials"": 0.2,
  ""Health Care"": 0.1,
  ""Information Technology"": 0.45,
  ""Communication Services"": 0.25,
  ""Consumer Discretionary"": 0.15,
  ""Consumer Staples"": -0.2,
  ""Energy"": 0.35,
  ""Industrials"": 0.15,
  ""Materials"": 0.3,
  ""Utilities"": -0.1,
  ""Real Estate"": -0.35,
  ""Basic Materials"": 0.3
}"
02_12_2025,"{""Information Technology"":0.15,""Health Care"":0.05,""Financials"":0.35,""Consumer Discretionary"":-0.1,""Consumer Staples"":-0.05,""Energy"":-0.15,""Industrials"":-0.25,""Materials"":-0.2,""Utilities"":-0.05,""Real Estate"":-0.2,""Communication Services"":0.1}"
02_13_2025,"{
  ""Communication Services"": 0.05,
  ""Consumer Discretionary"": -0.15,
  ""Consumer Staples"": -0.2,
  ""Energy"": -0.25,
  ""Financials"": -0.1,
  ""Health Care"": -0.05,
  ""Industrials"": -0.2,
  ""Information Technology"": 0.1,
  ""Materials"": -0.15,
  ""Real Estate"": -0.1,
  ""Utilities"": -0.05
}"
02_14_2024,"{""communication_services"":0.72,""consumer_discretionary"":0.58,""consumer_staples"":0.18,""energy"":0.12,""financials"":0.3,""health_care"":0.22,""industrials"":0.14,""information_technology"":0.61,""materials"":0.08,""real_estate"":-0.05,""utilities"":0.02}"
02_14_2025,"{
  ""Consumer Discretionary"": 0.25,
  ""Consumer Staples"": 0.1,
  ""Energy"": -0.05,
  ""Financials"": 0.05,
  ""Health Care"": 0.0,
  ""Industrials"": 0.2,
  ""Information Technology"": 0.15,
  ""Materials"": 0.05,
  ""Real Estate"": 0.0,
  ""Utilities"": -0.02,
  ""Communication Services"": 0.12
}"
02_15_2024,"{
  ""information_technology"": 0.75,
  ""communication_services"": 0.55,
  ""consumer_discretionary"": 0.2,
  ""consumer_staples"": -0.1,
  ""health_care"": 0.15,
  ""financials"": 0.25,
  ""industrials"": -0.25,
  ""materials"": -0.3,
  ""energy"": -0.2,
  ""utilities"": 0.05,
  ""real_estate"": 0.1
}"
02_16_2024,"{""Communication Services"":0.15,""Consumer Discretionary"":0.05,""Consumer Staples"":-0.1,""Energy"":0.35,""Financials"":0.05,""Health Care"":0.1,""Industrials"":-0.05,""Information Technology"":0.2,""Materials"":0.1,""Real Estate"":-0.15,""Utilities"":0.0}"
02_18_2025,"{
  ""information_technology"": 0.35,
  ""communication_services"": 0.25,
  ""consumer_discretionary"": 0.3,
  ""consumer_staples"": 0.15,
  ""energy"": 0.05,
  ""financials"": 0.2,
  ""health_care"": 0.1,
  ""industrials"": 0.2,
  ""materials"": 0.08,
  ""real_estate"": 0.12,
  ""utilities"": 0.05
}"
02_19_2025,"{
  ""sector_sentiment"": {
    ""communication_services"": 0.05,
    ""consumer_discretionary"": -0.05,
    ""consumer_staples"": 0.35,
    ""energy"": 0.15,
    ""financials"": 0.55,
    ""health_care"": -0.15,
    ""industrials"": 0.4,
    ""information_technology"": -0.1,
    ""materials"": 0.2,
    ""real_estate"": -0.35,
    ""utilities"": -0.1
  }
}"
02_20_2024,"{""Communication Services"":0.05,""Consumer Discretionary"":-0.18,""Consumer Staples"":0.12,""Energy"":0.08,""Financials"":-0.12,""Health Care"":0.0,""Industrials"":-0.1,""Information Technology"":0.28,""Materials"":-0.05,""Real Estate"":-0.22,""Utilities"":-0.02}"
02_20_2025,"{
  ""communication_services"": 0.05,
  ""consumer_discretionary"": -0.35,
  ""consumer_staples"": -0.15,
  ""energy"": -0.2,
  ""financials"": 0.1,
  ""health_care"": -0.25,
  ""industrials"": -0.3,
  ""information_technology"": 0.15,
  ""materials"": -0.35,
  ""real_estate"": -0.1,
  ""utilities"": 0.05
}"
02_21_2024,"{""Communication Services"":0.16,""Consumer Discretionary"":0.21,""Consumer Staples"":0.05,""Energy"":0.24,""Financials"":-0.08,""Health Care"":0.12,""Industrials"":0.14,""Information Technology"":0.62,""Materials"":0.03,""Real Estate"":0.17,""Utilities"":-0.02}"
02_21_2025,"{""Consumer Discretionary"":0.05,""Consumer Staples"":0.1,""Energy"":0.0,""Financials"":0.15,""Health Care"":-0.3,""Industrials"":-0.05,""Information Technology"":0.08,""Materials"":0.2,""Real Estate"":-0.15,""Utilities"":0.12}"
02_22_2024,"{""Information Technology"":0.95,""Health Care"":0.15,""Financials"":0.05,""Consumer Discretionary"":0.25,""Consumer Staples"":0.05,""Energy"":0.1,""Industrials"":0.35,""Materials"":0.15,""Utilities"":0.0,""Real Estate"":-0.15,""Communication Services"":0.2}"
02_23_2024,"{""Communication Services"":0.38,""Consumer Discretionary"":0.52,""Consumer Staples"":0.18,""Energy"":0.05,""Financials"":0.22,""Health Care"":0.31,""Industrials"":0.44,""Information Technology"":0.86,""Materials"":0.12,""Real Estate"":0.08,""Utilities"":0.04}"
02_25_2025,"{
  ""Communication Services"": 0.1,
  ""Consumer Discretionary"": -0.2,
  ""Consumer Staples"": 0.05,
  ""Energy"": 0.15,
  ""Financials"": 0.05,
  ""Health Care"": -0.15,
  ""Industrials"": -0.25,
  ""Information Technology"": -0.45,
  ""Materials"": -0.2,
  ""Real Estate"": -0.3,
  ""Utilities"": 0.05
}"
02_26_2025,"{""CommunicationServices"":0.72,""ConsumerDiscretionary"":-0.18,""ConsumerStaples"":0.08,""Energy"":-0.12,""Financials"":-0.05,""HealthCare"":0.05,""Industrials"":0.02,""InformationTechnology"":0.34,""Materials"":-0.08,""RealEstate"":-0.2,""Utilities"":0.04}"
02_27_2025,"{
  ""Communication Services"": 0.15,
  ""Consumer Discretionary"": 0.1,
  ""Consumer Staples"": -0.05,
  ""Energy"": -0.1,
  ""Financials"": 0.05,
  ""Health Care"": -0.05,
  ""Industrials"": -0.15,
  ""Information Technology"": 0.2,
  ""Materials"": -0.1,
  ""Real Estate"": -0.05,
  ""Utilities"": 0.05
}"
02_28_2024,"{
  ""Information Technology"": 0.72,
  ""Health Care"": 0.18,
  ""Financials"": 0.22,
  ""Consumer Discretionary"": -0.08,
  ""Consumer Staples"": 0.12,
  ""Energy"": -0.18,
  ""Industrials"": 0.16,
  ""Materials"": -0.05,
  ""Utilities"": -0.12,
  ""Real Estate"": -0.14,
  ""Communication Services"": 0.38
}"
02_28_2025,"{""Information Technology"":0.15,""Health Care"":0.25,""Financials"":0.05,""Consumer Discretionary"":-0.35,""Consumer Staples"":0.1,""Energy"":0.2,""Industrials"":-0.05,""Materials"":-0.3,""Utilities"":0.05,""Real Estate"":-0.15,""Communication Services"":-0.1}"
02_29_2024,"{
  ""CommunicationServices"": 0.1,
  ""ConsumerDiscretionary"": 0.15,
  ""ConsumerStaples"": 0.05,
  ""Energy"": 0.0,
  ""Financials"": 0.05,
  ""HealthCare"": 0.1,
  ""Industrials"": 0.0,
  ""InformationTechnology"": 0.05,
  ""Materials"": -0.05,
  ""RealEstate"": -0.1,
  ""Utilities"": 0.0
}"
03_01_2024,"{
  ""Communication Services"": 0.2,
  ""Consumer Discretionary"": 0.15,
  ""Consumer Staples"": 0.1,
  ""Energy"": 0.25,
  ""Financials"": -0.35,
  ""Health Care"": 0.1,
  ""Industrials"": 0.05,
  ""Information Technology"": 0.2,
  ""Materials"": 0.15,
  ""Real Estate"": -0.4,
  ""Utilities"": 0.0
}"
03_03_2025,"{""Communication Services"":0.12,""Consumer Discretionary"":-0.08,""Consumer Staples"":0.05,""Energy"":-0.18,""Financials"":0.10,""Health Care"":0.04,""Industrials"":0.18,""Information Technology"":-0.05,""Materials"":0.09,""Real Estate"":-0.12,""Utilities"":-0.04}"
03_04_2024,"{""communication_services"":0.12,""consumer_discretionary"":0.08,""consumer_staples"":0.02,""energy"":-0.03,""financials"":0.14,""health_care"":0.11,""industrials"":0.18,""information_technology"":0.22,""materials"":0.09,""real_estate"":0.05,""utilities"":0.01}"
03_05_2024,"{""Consumer Discretionary"":0.12,""Consumer Staples"":0.18,""Energy"":0.08,""Financials"":0.06,""Health Care"":0.14,""Industrials"":0.05,""Information Technology"":0.02,""Materials"":0.0,""Real Estate"":-0.12,""Communication Services"":0.01,""Utilities"":-0.05}"
03_06_2025,"{
  ""sector_sentiment"": {
    ""Communication Services"": -0.15,
    ""Consumer Discretionary"": -0.45,
    ""Consumer Staples"": 0.1,
    ""Energy"": 0.05,
    ""Financials"": -0.1,
    ""Health Care"": 0.0,
    ""Industrials"": -0.25,
    ""Information Technology"": -0.35,
    ""Materials"": -0.2,
    ""Real Estate"": -0.05,
    ""Utilities"": 0.05
  }
}"
03_07_2024,"{""communication_services"":0.2,""consumer_discretionary"":0.55,""consumer_staples"":0.1,""energy"":0.05,""financials"":0.45,""health_care"":0.15,""industrials"":0.25,""information_technology"":0.35,""materials"":0.05,""real_estate"":-0.2,""utilities"":0.0}"
03_10_2025,"{""communication_services"":0.1,""consumer_discretionary"":-0.55,""consumer_staples"":-0.15,""energy"":-0.25,""financials"":-0.7,""health_care"":-0.1,""industrials"":-0.45,""information_technology"":-0.5,""materials"":-0.35,""real_estate"":-0.2,""utilities"":0.05}"
03_11_2024,"{""Financials"":0.1,""Health Care"":0.0,""Information Technology"":0.05,""Communication Services"":-0.2,""Consumer Discretionary"":-0.05,""Consumer Staples"":0.02,""Energy"":0.03,""Industrials"":-0.1,""Materials"":-0.05,""Real Estate"":-0.15,""Utilities"":0.08}"
03_11_2025,"{
  ""Consumer Discretionary"": -0.72,
  ""Consumer Staples"": 0.18,
  ""Energy"": -0.34,
  ""Financials"": -0.41,
  ""Health Care"": 0.22,
  ""Industrials"": -0.56,
  ""Information Technology"": -0.18,
  ""Materials"": -0.63,
  ""Real Estate"": -0.12,
  ""Utilities"": 0.11,
  ""Communication Services"": -0.22,
  ""S&P 500"": -0.48
}"
03_12_2025,"{""Communication Services"":0.05,""Consumer Discretionary"":-0.35,""Consumer Staples"":-0.1,""Energy"":0.1,""Financials"":-0.15,""Health Care"":0.0,""Industrials"":-0.25,""Information Technology"":-0.4,""Materials"":-0.45,""Real Estate"":-0.05,""Utilities"":0.02}"
03_13_2024,"{""Communication Services"":0.35,""Consumer Discretionary"":0.45,""Consumer Staples"":0.1,""Energy"":0.2,""Financials"":0.25,""Health Care"":0.15,""Industrials"":0.05,""Information Technology"":0.3,""Materials"":0.0,""Real Estate"":-0.15,""Utilities"":-0.05}"
03_13_2025,"{
  ""Information Technology"": -0.25,
  ""Communication Services"": -0.15,
  ""Consumer Discretionary"": -0.45,
  ""Consumer Staples"": 0.05,
  ""Health Care"": -0.2,
  ""Financials"": -0.35,
  ""Industrials"": -0.55,
  ""Materials"": -0.6,
  ""Energy"": -0.25,
  ""Utilities"": 0.0,
  ""Real Estate"": -0.2
}"
03_14_2024,"{""Communication Services"":0.25,""Consumer Discretionary"":-0.2,""Consumer Staples"":0.1,""Energy"":0.35,""Financials"":0.15,""Health Care"":0.2,""Industrials"":0.3,""Information Technology"":-0.1,""Materials"":0.28,""Real Estate"":-0.05,""Utilities"":0.0}"
03_14_2025,"{
  ""Communication Services"": -0.2,
  ""Consumer Discretionary"": -0.65,
  ""Consumer Staples"": 0.15,
  ""Energy"": -0.55,
  ""Financials"": -0.15,
  ""Health Care"": -0.1,
  ""Industrials"": -0.3,
  ""Information Technology"": -0.6,
  ""Materials"": -0.45,
  ""Real Estate"": -0.2,
  ""Utilities"": 0.1
}"
03_15_2024,"{
  ""communication_services"": 0.45,
  ""consumer_discretionary"": 0.3,
  ""consumer_staples"": 0.05,
  ""energy"": 0.4,
  ""financials"": 0.15,
  ""health_care"": 0.1,
  ""industrials"": 0.2,
  ""information_technology"": 0.5,
  ""materials"": 0.35,
  ""real_estate"": -0.05,
  ""utilities"": -0.1
}"
03_17_2025,"{""S&P 500"":{""sentiment"":-0.62},""Information Technology"":{""sentiment"":-0.28},""Health Care"":{""sentiment"":-0.12},""Financials"":{""sentiment"":-0.18},""Consumer Discretionary"":{""sentiment"":-0.72},""Consumer Staples"":{""sentiment"":-0.34},""Energy"":{""sentiment"":0.08},""Utilities"":{""sentiment"":0.05},""Industrials"":{""sentiment"":-0.22},""Materials"":{""sentiment"":-0.25},""Real Estate"":{""sentiment"":-0.31},""Communication Services"":{""sentiment"":-0.15}}"
03_19_2024,"{""CommunicationServices"":0.25,""ConsumerDiscretionary"":0.3,""ConsumerStaples"":0.12,""Energy"":0.35,""Financials"":0.22,""HealthCare"":0.18,""Industrials"":0.28,""InformationTechnology"":0.4,""Materials"":0.15,""RealEstate"":0.05,""Utilities"":0.02}"
03_19_2025,"{
  ""communication_services"": 0.15,
  ""consumer_discretionary"": -0.45,
  ""consumer_staples"": -0.1,
  ""energy"": 0.1,
  ""financials"": -0.2,
  ""health_care"": -0.05,
  ""industrials"": -0.15,
  ""information_technology"": -0.5,
  ""materials"": 0.0,
  ""real_estate"": -0.1,
  ""utilities"": 0.05
}"
03_20_2025,"{
  ""communication_services"": 0.05,
  ""consumer_discretionary"": -0.35,
  ""consumer_staples"": 0.1,
  ""energy"": -0.15,
  ""financials"": -0.1,
  ""health_care"": 0.0,
  ""industrials"": -0.45,
  ""information_technology"": 0.15,
  ""materials"": -0.3,
  ""real_estate"": 0.05,
  ""utilities"": 0.1
}"
03_21_2024,"{
  ""Communication Services"": 0.6,
  ""Consumer Discretionary"": 0.8,
  ""Consumer Staples"": 0.1,
  ""Energy"": 0.1,
  ""Financials"": 0.5,
  ""Health Care"": 0.2,
  ""Industrials"": 0.4,
  ""Information Technology"": 0.7,
  ""Materials"": 0.6,
  ""Real Estate"": 0.3,
  ""Utilities"": 0.2
}"
03_21_2025,"{
  ""S&P_500"": 0.4,
  ""Communication_Services"": 0.15,
  ""Consumer_Discretionary"": -0.75,
  ""Consumer_Staples"": -0.35,
  ""Energy"": -0.1,
  ""Financials"": 0.25,
  ""Health_Care"": 0.1,
  ""Industrials"": -0.6,
  ""Information_Technology"": -0.55,
  ""Materials"": -0.2,
  ""Real_Estate"": -0.1,
  ""Utilities"": -0.15
}"
03_22_2024,"{
  ""Consumer Discretionary"": 0.25,
  ""Consumer Staples"": -0.1,
  ""Energy"": 0.2,
  ""Financials"": 0.45,
  ""Health Care"": 0.05,
  ""Industrials"": 0.15,
  ""Information Technology"": -0.2,
  ""Materials"": 0.18,
  ""Real Estate"": 0.1,
  ""Utilities"": 0.02,
  ""Communication Services"": -0.15
}"
03_24_2025,"{
  ""Communication Services"": -0.15,
  ""Consumer Discretionary"": 0.1,
  ""Consumer Staples"": -0.05,
  ""Energy"": -0.1,
  ""Financials"": 0.05,
  ""Health Care"": -0.2,
  ""Industrials"": -0.05,
  ""Information Technology"": 0.15,
  ""Materials"": 0.0,
  ""Real Estate"": -0.05,
  ""Utilities"": -0.05
}"
03_25_2024,"{""Financials"":0.15,""Health Care"":0.05,""Information Technology"":0.25,""Communication Services"":0.2,""Consumer Discretionary"":0.1,""Consumer Staples"":0.0,""Energy"":0.05,""Industrials"":0.1,""Materials"":0.0,""Real Estate"":-0.05,""Utilities"":-0.1}"
03_25_2025,"{
  ""Communication Services"": 0.15,
  ""Consumer Discretionary"": -0.35,
  ""Consumer Staples"": -0.1,
  ""Energy"": 0.05,
  ""Financials"": 0.1,
  ""Health Care"": -0.05,
  ""Industrials"": -0.2,
  ""Information Technology"": -0.1,
  ""Materials"": -0.15,
  ""Real Estate"": -0.4,
  ""Utilities"": 0.0
}"
